company,description,summary
ANET,"Company Description Arista Networks, Inc. develops, markets, and sells cloud networking solutions in the Americas, Europe, the Middle East, Africa, and the Asia-Pacific.The company's cloud networking solutions consist of extensible operating systems, a set of network applications, as well as gigabit Ethernet switching and routing platforms.It also provides post contract customer support services, such as technical support, hardware repair and parts replacement beyond standard warranty, bug fix, patch, and upgrade services.The company serves a range of industries comprising internet companies, service providers, financial services organizations, government agencies, media and entertainment companies, telecommunication service providers, and others.It markets and sells its products through distributors, system integrators, value-added resellers, and original equipment manufacturer partners, as well as through its direct sales force.The company was formerly known as Arastra, Inc. and changed its name to Arista Networks, Inc. in October 2008.Arista Networks, Inc. was incorporated in 2004 and is headquartered in Santa Clara, California.","Arista Networks, Inc. is a company that develops, markets, and sells cloud networking solutions globally. Their solutions include extensible operating systems, network applications, and gigabit Ethernet switching and routing platforms. They also provide post-contract customer support services such as technical support, hardware repair, and parts replacement beyond the standard warranty. Arista Networks serves a range of industries, including internet companies, service providers, financial services organizations, government agencies, media and entertainment companies, telecommunication service providers, and others. They market and sell their products through distributors, system integrators, value-added resellers, original equipment manufacturer partners, and direct sales force. The company was formerly known as Arastra, Inc. and changed its name to Arista Networks, Inc. in October 2008. Arista Networks, Inc. was incorporated in 2004 and is headquartered in Santa Clara, California."
MSI,"Company Description Motorola Solutions, Inc. provides public safety and enterprise security solutions in the United States, the United Kingdom, Canada, and internationally.The company operates in two segments, Products and Systems Integration, and Software and Services. The Products and Systems Integration segment offers a portfolio of infrastructure, devices, accessories, and video security devices and infrastructure, as well as the implementation and integration of systems, devices, software, and applications for government, public safety, and commercial customers who operate private communications networks and video security solutions, as well as manage a mobile workforce.Its land mobile radio communications, and video security and access control devices include two-way portable and vehicle-mounted radios, fixed and mobile video cameras, and accessories; radio network core and central processing software, base stations, consoles, and repeaters; and video analytics, network video management hardware and software, and access control solutions.The Software and Services segment provides public safety and enterprise command center, unified communications applications, mobile video equipment, and video software solutions; repair, technical support, and maintenance services; and monitoring, software updates, and cybersecurity services.The company was formerly known as Motorola, Inc. and changed its name to Motorola Solutions, Inc. in January 2011.Motorola Solutions, Inc. was founded in 1928 and is headquartered in Chicago, Illinois.","Motorola Solutions, Inc. is a company that provides public safety and enterprise security solutions in various countries. The company operates in two segments: Products and Systems Integration and Software and Services. The Products and Systems Integration segment offers a range of infrastructure, devices, and software solutions for government, public safety, and commercial customers. The Software and Services segment provides command center, unified communications, and video software solutions, as well as repair, technical support, and maintenance services. The company was formerly known as Motorola, Inc. and changed its name to Motorola Solutions, Inc. in 2011. The company was founded in 1928 and is headquartered in Chicago, Illinois."
ADSK,"Company Description Autodesk, Inc. provides 3D design, engineering, and entertainment technology solutions worldwide.The company offers AutoCAD Civil 3D, a surveying, design, analysis, and documentation solution for civil engineering, including land development, transportation, and environmental projects; BuildingConnected, a SaaS preconstruction solution; AutoCAD, a software for professional design, drafting, detailing, and visualization; AutoCAD LT, a drafting and detailing software; computer-aided manufacturing (CAM) software for computer numeric control machining, inspection, and modelling for manufacturing; Fusion 360, a 3D CAD, CAM, and computer-aided engineering tool; and Industry Collections tools for professionals in architecture, engineering and construction, product design and manufacturing, and media and entertainment collection industries.It also provides Inventor tools for 3D mechanical design, simulation, analysis, tooling, visualization, and documentation; Vault, a data management software to manage data in one central location, accelerate design processes, and streamline internal/external collaboration; Maya and 3ds Max software products that offer 3D modeling, animation, effects, rendering, and compositing solutions; and ShotGrid, a cloud-based software for review and production tracking in the media and entertainment industry.It sells its products and services to customers directly, as well as through a network of resellers and distributors.Autodesk, Inc. was incorporated in 1982 and is headquartered in San Francisco, California.","Autodesk, Inc. is a global provider of 3D design, engineering, and entertainment technology solutions. The company offers a range of products and services, including AutoCAD Civil 3D, BuildingConnected, AutoCAD, AutoCAD LT, CAM software, Fusion 360, Industry Collections, Inventor, Vault, Maya and 3ds Max, and ShotGrid. Autodesk sells its products and services directly and through a network of resellers and distributors. The company was founded in 1982 and is headquartered in San Francisco, California."
MCHP,"Company Description Microchip Technology Incorporated develops, manufactures, and sells smart, connected, and secure embedded control solutions in the Americas, Europe, and Asia.The company offers general purpose 8-bit, 16-bit, and 32-bit microcontrollers; 32-bit embedded mixed-signal microprocessors; and specialized microcontrollers for automotive, industrial, computing, communications, lighting, power supplies, motor control, human machine interface, security, wired connectivity, and wireless connectivity applications.It also provides application development tools that enable system designers to program microcontroller, FPGA, and microprocessor products for specific applications; field-programmable gate array (FPGA) products; and analog, interface, mixed signal, and timing products comprising power management, linear, mixed-signal, high-voltage, thermal management, discrete diodes, and metal oxide semiconductor field effect transistors (MOSFETS), radio frequency (RF), drivers, safety, security, timing, USB, Ethernet, wireless, and other interface products.In addition, the company offers serial electrically erasable programmable read-only memory, serial flash memories, parallel flash memories, serial static random access memories, and serial electrically erasable random access memories for the production of very small footprint devices; and licenses its SuperFlash embedded flash and non-volatile memory technologies to foundries, integrated device manufacturers, and design partners for use in the manufacture of microcontroller products, gate array, RF, analog, and neuromorphic compute products that require embedded non-volatile memory, as well as provides engineering services.Further, it offers wafer foundry and assembly, and test subcontracting manufacturing services; and timing systems products, application specific integrated circuits, and aerospace products.Microchip Technology Incorporated was incorporated in 1989 and is headquartered in Chandler, Arizona.","Microchip Technology Incorporated is a company that develops, manufactures, and sells smart, connected, and secure embedded control solutions in various regions. The company offers a range of products, including general-purpose microcontrollers, embedded mixed-signal microprocessors, and specialized microcontrollers for various applications. It also provides application development tools, FPGA products, and analog, interface, mixed-signal, and timing products. Additionally, the company offers serial electrically erasable programmable read-only memory, serial flash memories, and other non-volatile memory technologies. Microchip Technology Incorporated was founded in 1989 and is headquartered in Chandler, Arizona."
ON,"Company Description ON Semiconductor Corporation provides intelligent sensing and power solutions in the United States and internationally.The company operates through three segments: Power Solutions Group, Advanced Solutions Group, and Intelligent Sensing Group.Its intelligent power technologies enable the electrification of the automotive industry that allows for lighter and longer-range electric vehicles, empowers fast-charging systems, and propels sustainable energy for the solar strings, industrial power, and storage systems.The company offers analog, discrete, module, and integrated semiconductor products that perform multiple application functions, includes power switching and conversion, signal conditioning, circuit protection, signal amplification, and voltage regulation functions.The company also designs and develops analog, mixed-signal, advanced logic, application specific standard product and ASICs, radio frequency, and integrated power solutions for end-users in end-markets, as well as provides foundry and design services for government customers.In addition, it develops complementary metal oxide semiconductor image sensors, image signal processors, and single photon detectors, include silicon photomultipliers and single photon avalanche diode arrays, as well as actuator drivers for autofocus and image stabilization for a broad base of end-users in various end-markets.ON Semiconductor Corporation was incorporated in 1992 and is headquartered in Scottsdale, Arizona.","ON Semiconductor Corporation is a US-based company that provides intelligent sensing and power solutions globally. The company operates through three segments: Power Solutions Group, Advanced Solutions Group, and Intelligent Sensing Group. Its intelligent power technologies enable the electrification of the automotive industry, fast-charging systems, and sustainable energy for various applications. The company offers a range of semiconductor products, including analog, discrete, module, and integrated solutions, as well as foundry and design services for government customers. Additionally, ON Semiconductor develops complementary metal oxide semiconductor image sensors, image signal processors, and single photon detectors for various end-users in various end-markets. The company was founded in 1992 and is headquartered in Scottsdale, Arizona."
TEL,"Company Description TE Connectivity Ltd., together with its subsidiaries, manufactures and sells connectivity and sensor solutions in Europe, the Middle East, Africa, the Asia""Pacific, and the Americas.The company operates through three segments: Transportation Solutions, Industrial Solutions, and Communications Solutions.The Transportation Solutions segment provides terminals and connector systems and components, sensors, relays, antennas, and application tooling products for use in the automotive, commercial transportation, and sensor markets.The Industrial Solutions segment offers terminals and connector systems and components; and interventional medical components, relays, heat shrink tubing, and wires and cables for industrial equipment, aerospace, defense, marine, medical, and energy markets.The Communications Solutions segment supplies electronic components, such as terminals and connector systems and components, relays, heat shrink tubing, and antennas for the data and devices, and appliances markets.TE Connectivity Ltd. sells its products to approximately 140 countries primarily through direct sales to manufacturers, as well as through third-party distributors.The company was formerly known as Tyco Electronics Ltd. and changed its name to TE Connectivity Ltd. in March 2011.TE Connectivity Ltd. was incorporated in 2000 and is based in Schaffhausen, Switzerland.","TE Connectivity Ltd. is a global company that manufactures and sells connectivity and sensor solutions in various regions. The company operates through three segments: Transportation Solutions, Industrial Solutions, and Communications Solutions. The Transportation Solutions segment provides products for the automotive, commercial transportation, and sensor markets. The Industrial Solutions segment offers products for industrial equipment, aerospace, defense, marine, medical, and energy markets. The Communications Solutions segment supplies electronic components for the data and devices, and appliances markets. TE Connectivity Ltd. sells its products to approximately 140 countries primarily through direct sales to manufacturers, as well as through third-party distributors. The company was formerly known as Tyco Electronics Ltd. and changed its name to TE Connectivity Ltd. in March 2011. TE Connectivity Ltd. was incorporated in 2000 and is based in Schaffhausen, Switzerland."
FTNT,"Company Description Fortinet, Inc. provides cybersecurity and networking solutions worldwide.It offers FortiGate hardware and software licenses that provide various security and networking functions, including firewall, intrusion prevention, anti-malware, virtual private network, application control, web filtering, anti-spam, and wide area network acceleration.The company also provides FortiSwitch product family that offers secure switching solutions for connecting customers their end devices; FortiAP product family, which provides secure wireless networking solutions; FortiExtender, a hardware appliance; FortiAnalyzer product family, which offers centralized network logging, analyzing, and reporting solutions; and FortiManager product family that provides centralized network logging, analyzing and reporting solutions.It offers FortiWeb product family provides web application firewall solutions; FortiMail product family that secure email gateway solutions; FortiSandbox technology that delivers proactive detection and mitigation services; FortiClient that provides endpoint protection with pattern-based anti-malware, behavior-based exploit protection, web-filtering, and an application firewall; FortiAuthenticator, a zero trust access solution; FortiGate VM, a network firewall virtual appliance; FortiToken, product family for multi-factor authentication to safeguard systems, assets, and data; and FortiEDR/XDR, an endpoint protection solution that provides both machine-learning anti-malware protection and remediation.It provides security subscription, technical support, professional, and training services. It sells its security solutions to channel partners and directly to various customers in telecommunications, technology, government, financial services, education, retail, manufacturing, and healthcare industries.It has strategic alliance with Linksys. The company was incorporated in 2000 and is headquartered in Sunnyvale, California.","Fortinet, Inc. is a cybersecurity and networking solutions provider worldwide. It offers FortiGate hardware and software licenses that provide various security and networking functions, including firewall, intrusion prevention, anti-malware, virtual private network, application control, web filtering, anti-spam, and wide area network acceleration. The company also provides FortiSwitch, FortiAP, FortiExtender, FortiAnalyzer, FortiManager, FortiWeb, FortiMail, FortiSandbox, FortiClient, FortiAuthenticator, FortiGate VM, FortiToken, and FortiEDR/XDR. It provides security subscription, technical support, professional, and training services. Fortinet sells its security solutions to channel partners and directly to various customers in various industries. It has a strategic alliance with Linksys and was incorporated in 2000 and is headquartered in Sunnyvale, California."
CTSH,"Company Description Cognizant Technology Solutions Corporation, a professional services company, provides consulting and technology, and outsourcing services in North America, Europe, and internationally.It operates through four segments: Financial Services; Health Sciences; Products and Resources; and Communications, Media and Technology.The company offers customer experience enhancement, robotic process automation, analytics, and AI services in areas, such as digital lending, fraud detection, and next generation payments; the shift towards consumerism, outcome-based contracting, digital health, delivering integrated seamless, omni-channel, and patient-centered experience; and services that drive operational improvements in areas, such as clinical development, pharmacovigilance, and manufacturing, as well as claims processing, enrollment, membership, and billing to healthcare providers and payers, and life sciences companies, including pharmaceutical, biotech, and medical device companies.It also provides solution to manufacturers, automakers, retailers and travel and hospitality companies, as well as companies providing logistics, energy and utility services; and digital content, the creation of personalized user experience, and acceleration of digital engineering services to communications, media and entertainment, education, and information services and technology companies.The company has a strategic partnership with ServiceNow, Inc. to accelerate adoption of AI-driven automation across industries.The company was founded in 1994 and is headquartered in Teaneck, New Jersey.","Cognizant Technology Solutions Corporation is a professional services company that provides consulting and technology, and outsourcing services in North America, Europe, and internationally. The company operates through four segments: Financial Services, Health Sciences, Products and Resources, and Communications, Media and Technology. Cognizant offers customer experience enhancement, robotic process automation, analytics, and AI services in areas such as digital lending, fraud detection, and next generation payments. The company also provides services that drive operational improvements in areas such as clinical development, pharmacovigilance, and manufacturing, as well as claims processing, enrollment, membership, and billing to healthcare providers and payers, and life sciences companies. Cognizant has a strategic partnership with ServiceNow, Inc. to accelerate adoption of AI-driven automation across industries. The company was founded in 1994 and is headquartered in Teaneck, New Jersey."
IT,"Company Description Gartner, Inc. operates as a research and advisory company in the United States, Canada, Europe, the Middle East, Africa, and internationally.It operates through three segments: Research, Conferences, and Consulting. The Research segment delivers its research primarily through a subscription service that include on-demand access to published research content, data and benchmarks, and direct access to a network of research experts.The Conferences segment offers business professionals in an organization the opportunity to learn, share, and network.The Consulting segment offers market research, custom analysis, and on-the-ground support services. This segment also offers actionable solutions for IT-related priorities, including IT cost optimization, digital transformation, and IT sourcing optimization.Gartner, Inc. was founded in 1979 and is headquartered in Stamford, Connecticut.","Gartner, Inc. is a research and advisory company that operates in the United States, Canada, Europe, the Middle East, Africa, and internationally. It has three segments: Research, Conferences, and Consulting. The Research segment delivers its research through a subscription service that includes on-demand access to published research content, data and benchmarks, and direct access to a network of research experts. The Conferences segment offers business professionals the opportunity to learn, share, and network. The Consulting segment offers market research, custom analysis, and on-the-ground support services, as well as actionable solutions for IT-related priorities. Gartner, Inc. was founded in 1979 and is headquartered in Stamford, Connecticut."
CDW,"Company Description CDW Corporation provides information technology (IT) solutions in the United States, the United Kingdom, and Canada.It operates through three segments: Corporate, Small Business, and Public. The company offers discrete hardware and software products and services, as well as integrated IT solutions, including on-premise, hybrid, and cloud capabilities across hybrid infrastructure, digital experience, and security.Its hardware products comprise notebooks/mobile devices, network communications, desktop computers, video monitors, enterprise and data storage, and others; and software products consists of application suites, security, virtualization, operating systems, and network management.The company also provides advisory and design, software development, implementation, managed, professional, configuration, partner, and telecom services, as well as warranties; delivers and manages mission critical software, systems, and network solutions; and implementation and installation, and repair services to its customers through various third-party service providers.It serves government, education, and healthcare customers; and small, medium, and large business customers.CDW Corporation was founded in 1984 and is headquartered in Vernon Hills, Illinois.","CDW Corporation is an IT solutions provider operating in the US, UK, and Canada. It offers hardware and software products, as well as integrated IT solutions, including on-premise, hybrid, and cloud capabilities. Its hardware products include notebooks/mobile devices, network communications, desktop computers, video monitors, and others, while software products consist of application suites, security, virtualization, operating systems, and network management. CDW also provides advisory and design, software development, implementation, managed, professional, configuration, partner, and telecom services, as well as warranties. It serves government, education, and healthcare customers, as well as small, medium, and large business customers. CDW was founded in 1984 and is headquartered in Vernon Hills, Illinois."
ANSS,"Company Description ANSYS, Inc. develops and markets engineering simulation software and services worldwide.It offers ANSYS Workbench, a framework upon which its multiphysics engineering simulation technologies are built and enables engineers to simulate the interactions between structures, heat transfer, fluids, electronics, and optical elements in a unified engineering simulation environment; high-performance computing product suite and the cloud; power analysis and optimization software suite that manages the power budget, power delivery integrity, and power-induced noise in an electronic design; and structural analysis product suite that provides simulation tools for product design and optimization.The company also provides electronics product suite that offers electromagnetic field simulation software for designing electronic and electromechanical products; SCADE product suite, a solution for embedded software simulation, code production, and automated certification; fluids product suite that enables modeling of fluid flow and other related physical phenomena; Ansys Granta products to give access to material intelligence; photonic design and simulation tools; and optical sensor and closed-loop, and real-time simulation, as well as safety-certified embedded software solutions.In addition, the company provides Discovery product family for use in the simulation of product design; and academic product suite used in research and teaching settings, which allows students to become familiar with its simulation software.It serves engineers, designers, researchers, and students in the aerospace and defense, automotive, construction, consumer products, energy, healthcare, high-tech, industrial equipment, and materials and chemical processing industries.ANSYS, Inc. was founded in 1970 and is headquartered in Canonsburg, Pennsylvania.","ANSYS, Inc. is a global company that develops and markets engineering simulation software and services. It offers a unified engineering simulation environment through its ANSYS Workbench framework, which enables engineers to simulate the interactions between structures, heat transfer, fluids, electronics, and optical elements. The company also provides high-performance computing product suite and the cloud, power analysis and optimization software suite, structural analysis product suite, electronics product suite, SCADE product suite, fluids product suite, Ansys Granta products, photonic design and simulation tools, optical sensor and closed-loop, real-time simulation, and safety-certified embedded software solutions. ANSYS, Inc. serves engineers, designers, researchers, and students in various industries, including aerospace and defense, automotive, construction, consumer products, energy, healthcare, high-tech, industrial equipment, and materials and chemical processing. The company was founded in 1970 and is headquartered in Canonsburg, Pennsylvania."
KEYS,"Company Description Keysight Technologies, Inc. provides electronic design and test solutions to commercial communications, networking, aerospace, defense and government, automotive, energy, semiconductor, electronic, and education industries in the Americas, Europe, and the Asia Pacific.Its Communications Solutions Group segment provides electronic design automation (EDA) software; radio frequency and microwave test solutions, and related software; hardware and virtual network test platforms and software applications, including data center, routing and switching, software defined networking, security, and encryption; oscilloscopes, logic and serial protocol analyzers, logic-signal sources, arbitrary waveform generators, and bit error rate testers; and optical modulation analyzers, optical component analyzers, optical power meters, and optical laser source solutions, as well as resells refurbished used Keysight equipment.The company's Electronic Industrial Solutions Group segment offers design tools; design verification tools; and digital multimeters, function generators, frequency counters, data acquisition systems, audio analyzers, LCR meters, thermal imagers, source measure units, ultra-high precision device current analyzers, and test executive software platforms, as well as various power supplies comprising AC/DC modular supplies and electronically programmable loads.This segment also provides printed-circuit-board-assembly testers, integrated circuit parametric testers, and sub-nano-meter positioning sub-assemblies; and test and measurement products and software.The company offers product support, technical support, and training and consulting services. It sells its products through direct sales force, distributors, resellers, and manufacturer's representatives.Keysight Technologies, Inc. was founded in 1939 and is headquartered in Santa Rosa, California.","Keysight Technologies, Inc. is a company that provides electronic design and test solutions to various industries, including commercial communications, networking, aerospace, defense, and government. The company's Communications Solutions Group segment offers electronic design automation software, radio frequency and microwave test solutions, hardware and virtual network test platforms, and other related products. The Electronic Industrial Solutions Group segment provides design tools, design verification tools, and various test and measurement products, as well as power supplies and printed-circuit-board-assembly testers. Keysight Technologies, Inc. offers product support, technical support, and training and consulting services and sells its products through direct sales force, distributors, resellers, and manufacturer's representatives. The company was founded in 1939 and is headquartered in Santa Rosa, California."
GLW,"Company Description Corning Incorporated engages in the display technologies, optical communications, environmental technologies, specialty materials, and life sciences businesses worldwide.The company's Display Technologies segment offers glass substrates for flat panel displays, including liquid crystal displays and organic light-emitting diodes that are used in televisions, notebook computers, desktop monitors, tablets, and handheld devices.Its Optical Communications segment provides optical fibers and cables; and hardware and equipment products, such as cable assemblies, fiber optic hardware and connectors, optical components and couplers, closures, network interface devices, and other accessories for the telecommunications industry, businesses, governments, and individuals.The company's Specialty Materials segment manufactures products that offer material formulations for glass, glass ceramics, crystals, precision metrology instruments, and software, as well as glass wafers and substrates, tinted sunglasses, and radiation shielding products for various markets comprising mobile consumer electronics, semiconductor equipment optics and consumables, aerospace and defense optics, radiation shielding products, sunglasses, and telecommunications components.Its Environmental Technologies segment provides ceramic substrates and filter products for emissions control in mobile, gasoline, and diesel applications.The company's Life Sciences segment offers laboratory products, including consumables, such as plastic vessels, liquid handling plastics, specialty surfaces, cell culture media, and serum, as well as general labware, and glassware and equipment under the Corning, Falcon, Pyrex, and Axygen brands.Corning Incorporated was formerly known as Corning Glass Works and changed its name to Corning Incorporated in April 1989.The company was founded in 1851 and is headquartered in Corning, New York.","Corning Incorporated is a multinational company that operates in various industries, including display technologies, optical communications, environmental technologies, specialty materials, and life sciences. The company's Display Technologies segment produces glass substrates for flat panel displays, while its Optical Communications segment provides optical fibers and cables, hardware, and equipment products. The Specialty Materials segment manufactures products for various markets, including mobile consumer electronics and aerospace and defense optics. The Environmental Technologies segment provides ceramic substrates and filter products for emissions control, and the Life Sciences segment offers laboratory products and equipment. Corning Incorporated was founded in 1851 and is headquartered in Corning, New York."
HPE,"Company Description Hewlett Packard Enterprise Company provides solutions that allow customers to capture, analyze, and act upon data seamlessly in the Americas, Europe, the Middle East, Africa, the Asia Pacific, and Japan.It operates in six segments: Compute, HPC & AI, Storage, Intelligent Edge, Financial Services, and Corporate Investments and Other.The company offers general purpose servers for multi-workload computing and workload-optimized servers; HPE ProLiant rack and tower servers; HPE Synergy; and solutions for secondary workloads and traditional tape, storage networking, and disk products, such as HPE Modular Storage Arrays and HPE XP.It also offers HPE Cray, HPE Apollo, and converged edge systems; and HPE Superdome Flex, HPE Nonstop, and HPE Integrity products.In addition, the company provides HPE Aruba product portfolio that includes hardware products, such as Wi-Fi access points, switches, and gateways; HPE Aruba software and services comprising cloud-based management, network management, network access control, analytics and assurance, and location; and professional and support services, as well as as-a-service and consumption models for the intelligent edge portfolio of products.Further, it offers various leasing, financing, IT consumption, and utility programs and asset management services for customers to facilitate technology deployment models and the acquisition of complete IT solutions, including hardware, software, and services from Hewlett Packard Enterprise and others.Additionally, the company provides consultative-led services; HPE Ezmeral Container Platform; HPE Ezmeral Data Fabric; and Hewlett Packard Labs.It serves commercial and large enterprise groups, such as business and public sector enterprises; and through various partners comprising resellers, distribution partners, original equipment manufacturers, independent software vendors, systems integrators, and advisory firms.The company was founded in 1939 and is headquartered in Spring, Texas.","Hewlett Packard Enterprise Company provides solutions for data capture, analysis, and action in the Americas, Europe, the Middle East, Africa, the Asia Pacific, and Japan. The company operates in six segments, including Compute, HPC & AI, Storage, Intelligent Edge, Financial Services, and Corporate Investments and Other. It offers a range of products and services, including servers, storage solutions, and networking products, as well as consulting and support services. The company also provides various leasing, financing, and asset management programs to facilitate technology deployment models and the acquisition of complete IT solutions. Hewlett Packard Enterprise was founded in 1939 and is headquartered in Spring, Texas."
HPQ,"Company Description HP Inc. provides personal computing and other access devices, imaging and printing products, and related technologies, solutions, and services in the United States and internationally.The company operates through three segments: Personal Systems, Printing, and Corporate Investments. The Personal Systems segment offers commercial and consumer desktops and notebooks, workstations, commercial mobility devices, thin clients, retail point-of-sale systems, displays and peripherals, software, support, and services, as well as video conferencing solutions, cameras, headsets, voice, and related software products.The Printing segment provides consumer and commercial printer hardware, supplies, solutions, and services, as well as focuses on graphics and 3D imaging solutions in the commercial and industrial markets.The Corporate Investments segment is involved in the HP Labs and business incubation, and investment projects.It serves individual consumers, small- and medium-sized businesses, and large enterprises, including customers in the government, health, and education sectors.The company was formerly known as Hewlett-Packard Company and changed its name to HP Inc. in October 2015.HP Inc. was founded in 1939 and is headquartered in Palo Alto, California.","HP Inc. is a technology company that provides personal computing, imaging, printing, and related products and services. The company operates through three segments: Personal Systems, Printing, and Corporate Investments. The Personal Systems segment offers desktops, notebooks, workstations, and other devices, while the Printing segment provides printer hardware, supplies, and solutions. The Corporate Investments segment focuses on research and development, business incubation, and investment projects. HP Inc. serves individual consumers, small- and medium-sized businesses, and large enterprises, including those in the government, health, and education sectors. The company was founded in 1939 and is headquartered in Palo Alto, California."
MPWR,"Company Description Monolithic Power Systems, Inc. engages in the design, development, marketing, and sale of semiconductor-based power electronics solutions for the computing and storage, automotive, industrial, communications, and consumer markets.The company provides direct current (DC) to DC integrated circuits (ICs) that are used to convert and control voltages of various electronic systems, such as portable electronic devices, wireless LAN access points, computers and notebooks, monitors, infotainment applications, and medical equipment.It also offers lighting control ICs for backlighting that are used in systems, which provide the light source for LCD panels in notebook computers, monitors, car navigation systems, and televisions, as well as for general illumination products.The company sells its products through third-party distributors and value-added resellers, as well as directly to original equipment manufacturers, original design manufacturers, electronic manufacturing service providers, and other end customers in China, Taiwan, Europe, South Korea, Southeast Asia, Japan, the United States, and internationally.Monolithic Power Systems, Inc. was incorporated in 1997 and is based in Kirkland, Washington.","Monolithic Power Systems, Inc. is a company that designs, develops, markets, and sells semiconductor-based power electronics solutions for various markets. The company provides direct current (DC) to DC integrated circuits (ICs) that are used to convert and control voltages of electronic systems, such as portable electronic devices, wireless LAN access points, computers, and medical equipment. Additionally, the company offers lighting control ICs for backlighting that are used in systems such as LCD panels in notebook computers, monitors, car navigation systems, and televisions, as well as for general illumination products. Monolithic Power Systems, Inc. sells its products through third-party distributors and value-added resellers, as well as directly to original equipment manufacturers, original design manufacturers, electronic manufacturing service providers, and other end customers in various countries, including China, Taiwan, Europe, South Korea, Southeast Asia, Japan, the United States, and internationally. The company was incorporated in 1997 and is based in Kirkland, Washington."
FICO,"Company Description Fair Isaac Corporation develops analytic, software, and data decisioning technologies and services that enable businesses to automate, enhance, and connect decisions in the Americas, Europe, the Middle East, Africa, and the Asia Pacific.It operates through two segments, Scores and Software. The Software segment provides pre-configured analytic and decision management solution designed for various business needs or processes, such as account origination, customer management, customer engagement, fraud detection, financial crimes compliance, and marketing, as well as associated professional services.This segment also offers FICO Platform, a modular software offering designed to support advanced analytic and decision use cases, as well as stand-alone analytic and decisioning software that can be configured by customers to address a wide range of business use cases.The Scores segment provides business-to-business scoring solutions and services for consumers that give clients access to predictive credit and other scores that can be integrated into their transaction streams and decision-making processes, as well as business-to-consumer scoring solutions comprising myFICO.com subscription offerings.Fair Isaac Corporation markets its products and services primarily through its direct sales organization and indirect channels, as well as online.The company was formerly known as Fair Isaac & Company, Inc. and changed its name to Fair Isaac Corporation in July 1992.Fair Isaac Corporation was founded in 1956 and is headquartered in Bozeman, Montana.","Fair Isaac Corporation is a technology company that provides analytic, software, and data decisioning technologies and services to businesses worldwide. It operates through two segments: Scores and Software. The Software segment offers pre-configured analytic and decision management solutions, as well as associated professional services, while the Scores segment provides business-to-business and business-to-consumer scoring solutions and services. Fair Isaac Corporation markets its products and services primarily through direct sales and online channels. The company was founded in 1956 and is headquartered in Bozeman, Montana."
TDY,"Company Description Teledyne Technologies Incorporated, together with its subsidiaries, provides enabling technologies for industrial growth markets in the United States, Canada, the United Kingdom, France, and internationally.The company's Instrumentation segment offers monitoring and control instruments for marine, environmental, industrial, and other applications, as well as electronic test and measurement equipment; and power and communications connectivity devices for distributed instrumentation systems and sensor networks.Its Digital Imaging segment provides visible spectrum sensors and digital cameras for industrial machine vision and automated quality control, as well as for medical, research, and scientific applications; and infrared and X-ray spectra for use in industrial, government, and medical applications, as well as micro electromechanical systems and semiconductors, including analog-to-digital and digital-to-analog converters.This segment also offers thermal imaging systems, visible-light imaging systems, locater systems, measurement and diagnostic systems, and threat-detection solutions.The company's Aerospace and Defense Electronics segment provides electronic components and subsystems, as well as communications products, such as defense electronics, environment interconnects, data acquisition and communications equipment for aircraft, components and subsystems for wireless and satellite communications, and general aviation batteries.Its Engineered Systems segment offers systems engineering and integration, technology development, and manufacturing solutions for defense, space, environmental, and energy applications; and designs and manufactures electrochemical energy systems and electronics for military applications.The company markets and sells its products and services through a direct internal sales force, as well as third-party sales representatives and distributors.The company was founded in 1960 and is headquartered in Thousand Oaks, California.","Teledyne Technologies Incorporated is a company that provides enabling technologies for industrial growth markets worldwide. The company has four segments: Instrumentation, Digital Imaging, Aerospace and Defense Electronics, and Engineered Systems. The Instrumentation segment offers monitoring and control instruments for various applications, while the Digital Imaging segment provides visible spectrum sensors and digital cameras for industrial and medical applications. The Aerospace and Defense Electronics segment provides electronic components and subsystems for defense and wireless communications, while the Engineered Systems segment offers systems engineering and manufacturing solutions for defense, space, and energy applications. Teledyne Technologies markets its products and services through a direct internal sales force and third-party sales representatives and distributors. The company was founded in 1960 and is headquartered in Thousand Oaks, California."
VRSN,"Company Description VeriSign, Inc., together with its subsidiaries, provides domain name registry services and internet infrastructure that enables internet navigation for various recognized domain names worldwide.The company enables the security, stability, and resiliency of internet infrastructure and services, including providing root zone maintainer services, operating two of the 13 internet root servers; and offering registration services and authoritative resolution for the .com and .net domains, which supports global e-commerce.It also back-end systems for .cc, .gov, .edu, and .name domain names, as well as operates distributed servers, networking, security, and data integrity services.The company was incorporated in 1995 and is headquartered in Reston, Virginia.","VeriSign, Inc. is a company that provides domain name registry services and internet infrastructure. They enable internet navigation for various recognized domain names worldwide and ensure the security, stability, and resiliency of internet infrastructure and services. They provide root zone maintainer services, operate two of the 13 internet root servers, and offer registration services and authoritative resolution for the .com and .net domains, which supports global e-commerce. They also back-end systems for .cc, .gov, .edu, and .name domain names, as well as operate distributed servers, networking, security, and data integrity services. The company was incorporated in 1995 and is headquartered in Reston, Virginia."
